xml,class,xmin,ymin,xmax,ymax,width,height,area,aspect_ratio,outlier_reason,severity,recommended_action
India_002004.xml,D11,241.0,613.0,621.0,637.0,380.0,24.0,9120.0,15.83,"Extreme aspect ratio (15.83: w=380, h=24)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_002404.xml,D10,98.0,582.0,383.0,610.0,285.0,28.0,7980.0,10.18,"Extreme aspect ratio (10.18: w=285, h=28)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_003163.xml,D43,2.0,574.0,428.0,613.0,426.0,39.0,16614.0,10.92,"Extreme aspect ratio (10.92: w=426, h=39)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_003654.xml,D20,1.0,321.0,707.0,720.0,706.0,399.0,281694.0,1.77,"Huge bounding box (281694 px^2, 54.3% of image)",LOW_OUTLIER,RETAIN_VALID_ALLIGATOR_CRACK
India_007668.xml,D11,293.0,591.0,676.0,613.0,383.0,22.0,8426.0,17.41,"Extreme aspect ratio (17.41: w=383, h=22)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_007710.xml,D11,133.0,579.0,652.0,614.0,519.0,35.0,18165.0,14.83,"Extreme aspect ratio (14.83: w=519, h=35)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_007997.xml,D20,84.0,201.0,713.0,654.0,629.0,453.0,284937.0,1.39,"Huge bounding box (284937 px^2, 55.0% of image)",LOW_OUTLIER,RETAIN_VALID_ALLIGATOR_CRACK
India_008307.xml,D10,289.0,564.0,612.0,593.0,323.0,29.0,9367.0,11.14,"Extreme aspect ratio (11.14: w=323, h=29)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_008597.xml,D20,1.0,210.0,705.0,702.0,704.0,492.0,346368.0,1.43,"Huge bounding box (346368 px^2, 66.8% of image)",LOW_OUTLIER,RETAIN_VALID_ALLIGATOR_CRACK
India_008982.xml,D20,61.0,231.0,712.0,690.0,651.0,459.0,298809.0,1.42,"Huge bounding box (298809 px^2, 57.6% of image)",LOW_OUTLIER,RETAIN_VALID_ALLIGATOR_CRACK
India_009232.xml,D11,203.0,587.0,720.0,607.0,517.0,20.0,10340.0,25.85,"Extreme aspect ratio (25.85: w=517, h=20)",LOW_OUTLIER,RETAIN_VALID_LONG_CRACK
India_009294.xml,D20,39.0,221.0,701.0,685.0,662.0,464.0,307168.0,1.43,"Huge bounding box (307168 px^2, 59.3% of image)",LOW_OUTLIER,RETAIN_VALID_ALLIGATOR_CRACK
