class,object_count,image_count,object_percentage,image_percentage,first_seen_sample
D40,3187,1530,38.852%,40.423%,India_000005.xml
D20,2021,1758,24.637%,46.446%,India_000014.xml
D00,1555,1109,18.956%,29.300%,India_000011.xml
D44,1062,869,12.946%,22.959%,India_000010.xml
D01,179,118,2.182%,3.118%,India_000038.xml
D10,68,60,0.829%,1.585%,India_000115.xml
D43,57,57,0.695%,1.506%,India_000142.xml
D11,45,36,0.549%,0.951%,India_000055.xml
D50,28,28,0.341%,0.740%,India_000128.xml
D0w0,1,1,0.012%,0.026%,India_006389.xml
